iter	Passed	Remaining
0	13	67279
1	15	37542
2	15	26477
3	16	21025
4	17	17838
5	18	15614
6	19	14078
7	20	12950
8	21	12047
9	22	11310
10	23	10704
11	24	10255
12	25	9821
13	26	9364
14	26	8965
15	27	8628
16	28	8493
17	39	10899
18	40	10543
19	40	10171
20	41	9831
21	42	9515
22	42	9241
23	43	9028
24	44	8810
25	45	8665
26	46	8540
27	47	8429
28	48	8383
29	49	8248
30	50	8083
31	51	7934
32	51	7798
33	52	7658
34	53	7524
35	53	7397
36	54	7276
37	54	7169
38	55	7093
39	56	7021
40	57	6964
41	58	6868
42	58	6779
43	59	6701
44	60	6654
45	61	6578
46	61	6502
47	62	6426
48	62	6354
49	63	6287
50	64	6221
51	64	6162
52	65	6101
53	66	6095
54	67	6047
55	67	6001
56	68	5946
57	69	5894
58	69	5843
59	70	5793
60	70	5745
61	71	5709
62	72	5672
63	74	5707
64	74	5665
65	75	5622
66	75	5582
67	76	5542
68	77	5518
69	77	5482
70	78	5445
71	79	5410
72	79	5376
73	80	5342
74	80	5308
75	81	5276
76	82	5244
77	82	5214
78	83	5184
79	83	5155
80	84	5127
81	85	5099
82	85	5072
83	86	5046
84	86	5026
85	87	5001
86	88	4984
87	88	4960
88	89	4936
89	90	4913
90	90	4896
91	91	4874
92	91	4852
93	92	4831
94	93	4810
95	93	4790
96	94	4781
97	95	4762
98	95	4743
99	96	4724
100	97	4706
101	97	4687
102	98	4670
103	98	4651
104	99	4635
105	100	4619
106	100	4602
107	101	4585
108	101	4569
109	102	4553
110	103	4537
111	103	4522
112	104	4513
113	104	4499
114	105	4485
115	106	4471
116	106	4456
117	107	4443
118	108	4430
119	108	4416
120	109	4408
121	109	4395
122	110	4383
123	111	4370
124	111	4365
125	112	4353
126	113	4340
127	113	4330
128	114	4319
129	115	4308
130	115	4296
131	116	4285
132	116	4278
133	117	4270
134	118	4263
135	118	4254
136	119	4244
137	120	4233
138	120	4223
139	121	4213
140	121	4204
141	122	4193
142	123	4183
143	123	4175
144	124	4167
145	125	4159
146	125	4151
147	126	4143
148	127	4135
149	127	4127
150	128	4123
151	129	4115
152	129	4106
153	130	4099
154	130	4092
155	131	4083
156	132	4076
157	132	4070
158	133	4062
159	134	4054
160	134	4049
161	135	4043
162	136	4037
163	136	4030
164	137	4023
165	137	4017
166	138	4010
167	140	4040
168	141	4033
169	141	4027
170	142	4021
171	143	4015
172	143	4009
173	144	4003
174	144	3997
175	145	3990
176	146	3985
177	146	3979
178	147	3973
179	148	3967
180	148	3961
181	149	3955
182	150	3952
183	150	3946
184	151	3941
185	152	3935
186	152	3930
187	153	3924
188	153	3919
189	154	3914
190	155	3909
191	155	3903
192	156	3898
193	157	3894
194	157	3888
195	158	3883
196	159	3878
197	159	3873
